title,authors,year,venue,doi,url,reason_for_exclusion
MCFN: Multi-scale Crossover Feed-forward Network for high performance watermarking,Yufeng Wu; Baowei Wang; Guiling Wang; Xin Liao,2025,Neurocomputing,10.1016/j.neucom.2024.129282,https://www.sciencedirect.com/science/article/pii/S0925231224020538,Deep-learning-based digital image watermarking network; confirmed image medium.
Survey on watermarking methods in the artificial intelligence domain and beyond,Preetam Amrit; Amit Kumar Singh,2022,Computer Communications,10.1016/j.comcom.2022.02.023,https://www.sciencedirect.com/science/article/pii/S0140366422000664,Broad AI/ML watermarking survey with no code-specific focus.
WFR-Guard: detecting poisoned training patterns via watermark anchors and randomized feature projections,"Hameed, Sana; Cui, Xiaohui; Imran, Naveed; Aurangzeb, Khursheed; Abdul, Wadood",2026,Journal of King Saud University - Computer and Information Sciences,10.1007/s44443-026-01139-x,https://www.scopus.com/pages/publications/105048733740?origin=resultslist,Model-agnostic data-poisoning defense for generic pattern-recognition/classifier training data; not code-specific.
Robust and Minimally Invasive Watermarking for EaaS,"Wang, Zongqi; Wu, Baoyuan; Deng, Jingyuan; Yang, Yujiu",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2025.findings-acl.112,https://www.scopus.com/pages/publications/105028585978?origin=resultslist,"Watermarks text-embedding vectors for an Embedding-as-a-Service; verifies the service/model, not generated code."
Backdoor-based Watermarking in Multi-Client Split Learning,"Zhao, Yao; Zhao, Juan; Tari, Zahir; Sohrabi, Nasrin; Xiao, Fu",2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2026.3712080,https://www.scopus.com/pages/publications/105044732717?origin=resultslist,"DNN model-ownership watermarking in split-learning settings; verifies the model, not generated code."
Enhancing watermarking robustness and invisibility with growth optimizer and improved LU decomposition,"Jiao, Shuai; Qiu, Yunfei; Su, Qingtang; Shi, Chongyu; Liu, Ziyang",2025,Optik,10.1016/j.ijleo.2025.172353,https://www.scopus.com/pages/publications/105003084555?origin=resultslist,Generic digital-multimedia (image) watermarking scheme; confirmed image medium.
FareMark: Model-Watermark-Driven Free-Rider Detection in Federated Learning Model,"Li, Li; Zhang, Xinpeng; Wu, Hanzhou; Feng, Guorui; Zhang, Weiming",2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3587745,https://www.scopus.com/pages/publications/105010324766?origin=resultslist,"Federated-learning model watermarking for free-rider detection; verifies the model, not generated code."
DeepEclipse: How to Break White-Box DNN-Watermarking Schemes,"Pegoraro, Alessandro; Segna, Carlotta; Kumari, Kavita; Sadeghi, Ahmad-Reza",2024,Proceedings of the 33rd USENIX Security Symposium,,https://www.scopus.com/pages/publications/85204986987?origin=resultslist,"DNN white-box watermark-removal attack; no new watermarking method, verifies the model."
Simple Probability Truncation Improves Soft Red List Watermarks,"Gameiro, Henrique Da Silva; Kucharavy, Andrei",2026,Proceedings of Machine Learning Research,,https://www.scopus.com/pages/publications/105039484738?origin=resultslist,Improves a generic LLM text (green/red-list) watermarking scheme; not code-specific.
The Technique of Embedding Digital Watermarks in Metadata and Annotations of Kotlin Bytecode,"Mokrinskii, Nikita; Sharikov, Pavel; Krasov, Andrey",2026,"Proceedings - 2026 International Russian Smart Industry Conference, SmartIndustryCon 2026",10.1109/SmartIndustryCon68821.2026.11492892,https://www.scopus.com/pages/publications/105040905581?origin=resultslist,Conventional bytecode watermarking technique; no generative-AI/LLM connection anywhere in the abstract.
DataDetective: Dataset Watermarking for Leaker Identification in ML Training,"Wegerhoff, Noa; Shapira, Avishag; Elovici, Yuval; Shabtai, Asaf",2024,Frontiers in Artificial Intelligence and Applications,10.3233/FAIA240771,https://www.scopus.com/pages/publications/85213332847?origin=resultslist,"Generic ML-dataset watermarking for leak-source identification; not code-specific, verifies the dataset."
A Robust Cloud-Enabled Watermarking Framework for Secure Ownership and Intellectual Property Protection of AI Models,"Gopikrishna, Vellaturi; Rao, Chaleendra Upendar; Meghana, G.; Valli, Kaila Sri; Sadvika, Usham; Sandeep, Rathod",2026,"Proceedings of 9th International Conference on Trends in Electronics and Informatics, ICOEI 2026",10.1109/ICOEI68323.2026.11541363,https://www.scopus.com/pages/publications/105042381156?origin=resultslist,"Cloud-based AI-model ownership watermarking, evaluated on an image classifier (CIFAR-10/ResNet-18); verifies the model, not generated code."
Universal and Quality-Preserving Watermark Removal Based on Unpaired Learning,"Yan, Fangjun; Ji, Xiaojian; Dong, Li; Sun, Weiwei; Li, Yuanman",2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2025.3621004,https://www.scopus.com/pages/publications/105019571108?origin=resultslist,"Watermark-removal attack confirmed on AI-generated images; no new watermarking method, confirmed image medium."
Watermarking Pseudorandom Functions: Stronger Security from General Assumptions,"Yang, Rupeng; Yu, Zuoxia; Susilo, Willy",2026,Lecture Notes in Computer Science,10.1007/978-3-032-26734-4_5,https://www.scopus.com/pages/publications/105041154807?origin=resultslist,Cryptographic theory for watermarkable pseudorandom functions; no generative-AI or code-generation connection.
On the Coexistence and Ensembling of Watermarks,"Petrov, Aleksandar; Agarwal, Shruti; Torr, Philip; Bibi, Adel; Collomosse, John",2025,Advances in Neural Information Processing Systems,,https://www.scopus.com/pages/publications/105048513378?origin=resultslist,Studies coexistence/ensembling of deep image watermarking methods; confirmed image medium.
Holo-Code: A Robust and Statistically Lossless Holographic Watermarking Framework for AIGC in Cloud-Edge IoT,"Fu, Hang; Cui, Yu; Wang, Licheng; Duan, Junke; Zhu, Liehuang",2026,IEEE Internet of Things Journal,10.1109/JIOT.2026.3684800,https://www.scopus.com/pages/publications/105036125600?origin=resultslist,Holographic watermarking for generic AIGC against post-distribution image manipulation in IoT settings; confirmed image medium.
Performance-Lossless Black-Box Model Watermarking,"Zhao, Na; Chen, Kejiang; Zhang, Weiming; Yu, Nenghai",2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2025.3622253,https://www.scopus.com/pages/publications/105019674608?origin=resultslist,"Branch-backdoor model-watermarking protocol; verifies the model, not generated code."
A comprehensive survey of watermarking techniques for copyright protection and integrity verification on DNNs and generative models,"Liu, Xinyun; Xu, Ronghua",2026,Discover Applied Sciences,10.1007/s42452-026-08576-3,https://www.scopus.com/pages/publications/105038556590?origin=resultslist,Survey of DNN/GAN/diffusion model watermarking; not code-specific.
N-gram Sliding Window Watermarking,"Su, Qifeng; Wu, Zhicong; Shi, Xiaodong",2025,Communications in Computer and Information Science,10.1007/978-981-96-9994-0_37,https://www.scopus.com/pages/publications/105012494606?origin=resultslist,"Confirmed natural-language text watermarking (narratives, dialogues, phishing emails); not code-specific."
Review of watermarking for deep neural networks; [深度神经网络模型水印研究进展],"Tan, Jingxuan; Zhong, Nan; Guo, Yusheng; Qian, Zhenxing; Zhang, Xinpeng",2024,Shanghai Ligong Daxue Xuebao/Journal of University of Shanghai for Science and Technology,10.13255/j.cnki.jusst.20230912001,https://www.scopus.com/pages/publications/85199067879?origin=resultslist,Survey of DNN model watermarking; not code-specific.
Dynamic Watermarking for Multi-Tenant SaaS Applications,"Tyagi, Reshu; Singh, Swati; Takuli, Arun Kumar; Bhardwaj, Ahimsa",2025,Digital Watermarking in Cloud Environments For Copyright Protection,10.4018/979-8-3373-3785-2.ch014,https://www.scopus.com/pages/publications/105018898541?origin=resultslist,Conventional SaaS data/content watermarking; no generative-AI/LLM connection anywhere in the abstract.
Low-Entropy Watermark Detection via Bayes' Rule Derived Detector,"Huang, Beining; Su, Du; Sun, Fei; Cao, Qi; Shen, Huawei; Cheng, Xueqi",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2025.findings-acl.739,https://www.scopus.com/pages/publications/105028581888?origin=resultslist,"General text-watermark detector improved for low-entropy text; code is mentioned only as one example domain, not the paper's specific focus or a proposed code-artifact method."
"The Good, the Bad and the Ugly: Meta-Analysis of Watermarks, Transferable Attacks and Adversarial Defenses","Głuch, Grzegorz; Turan, Berkant; Nagarajan, Sai Ganesh; Pokutta, Sebastian",2025,Advances in Neural Information Processing Systems,,https://www.scopus.com/pages/publications/105048594388?origin=resultslist,Generic cryptographic-theoretic trade-off analysis for arbitrary learning tasks; no code-specific connection.
Intellectual Property Protection of Deep Neural Network Models Based on Watermarking Technology; [基于水印技术的深度神经网络模型知识产权保护],"Jin, Biao; Lin, Xiang; Xiong, Jinbo; You, Weijing; Li, Xuan; Yao, Zhiqiang",2024,Jisuanji Yanjiu yu Fazhan/Computer Research and Development,10.7544/issn1000-1239.202440413,https://www.scopus.com/pages/publications/85206143438?origin=resultslist,Survey of DNN model watermarking; not code-specific.
Turning Distillation against Obfuscation: A Recovery Framework for DNN White-Box Watermarks,"Pouresmaeil, Mahdieh; Bellafqira, Reda; Kallas, Kassem; Quellec, Gwénolé; Coatrieux, Gouenou",2026,IHandMMSec 2026 - Proceedings of the 14th ACM International Conference on Information Hiding and Multimedia Security,10.1145/3785353.3815095,https://www.scopus.com/pages/publications/105043418764?origin=resultslist,"Recovery method against DNN white-box watermark obfuscation attacks, evaluated on classifiers/generative models/transformers generically; verifies the model, not generated code."
Box-Free Model Watermarks are Prone to Black-Box Removal Attacks,"An, Haonan; Hua, Guang; Lin, Zhiping; Fang, Yuguang",2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2026.3688047,https://www.scopus.com/pages/publications/105037884975?origin=resultslist,"Removal attack on box-free model watermarks for low-level image processing models; no new watermarking method, confirmed image context."
Ownership protection of deep learning models using watermarking,"Ahmed, Md. Ishfaque; Singh, Kedar Nath; Singh, Himanshu Kumar; Singh, Amit Kumar; Agrawal, Amrit Kumar",2025,Computers and Electrical Engineering,10.1016/j.compeleceng.2025.110481,https://www.scopus.com/pages/publications/105007013110?origin=resultslist,"Generic DL model ownership watermarking; verifies the model, not generated code."
Defending Against Ambiguity Attacks: Secret-Key-Driven DNN Watermarking for Ownership Verification,"Hao, Shouxi; Huang, Rong",2026,Electronics (Switzerland),10.3390/electronics15102150,https://www.scopus.com/pages/publications/105040126997?origin=resultslist,"DNN/MLaaS backdoor model-ownership watermarking; verifies the model, not generated code."
Protecting Intellectual Property of Deep Learning Models: A Structured Literature Review with Taxonomy of Watermarking Approaches,"Abduljabbar, Zinah S.; Younis, Muhanad Tahrir",2026,Ingenierie des Systemes d'Information,10.18280/isi.310422,https://www.scopus.com/pages/publications/105041516308?origin=resultslist,Structured literature review of DL model watermarking; not code-specific.
Your Semantic-Independent Watermark is Fragile: A Semantic Perturbation Attack against EaaS Watermark,"Fei, Zekun; Yi, Biao; Geng, Jianing; He, Ruiqi; Nie, Lihai; Liu, Zheli",2025,"EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2025",10.18653/v1/2025.findings-emnlp.192,https://www.scopus.com/pages/publications/105028990003?origin=resultslist,"Attack against Embedding-as-a-Service watermarking; no new watermarking method, verifies the service/model."
Research on Watermarking Attack of Deep Neural Network Models; [深度神经网络模型水印攻击研究],"Wang, Wen; Yang, Kuiwu; Tong, Songsong; Wei, Jianghong; Xue, Yan; Zhou, Rongkui",2026,Jisuanji Gongcheng/Computer Engineering,10.19678/j.issn.1000-3428.0252743,https://www.scopus.com/pages/publications/105040196853?origin=resultslist,"Study/classification of attacks on DNN model watermarking; no new watermarking method, verifies the model."
PointNCBW: Toward Dataset Ownership Verification for Point Clouds via Negative Clean-Label Backdoor Watermark,"Wei, Cheng; Wang, Yang; Gao, Kuofeng; Shao, Shuo; Li, Yiming; Wang, Zhibo; Qin, Zhan",2025,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2024.3492792,https://www.scopus.com/pages/publications/85208595922?origin=resultslist,"Backdoor dataset watermarking for point-cloud (3D) data; wrong medium, not code."
Customization-Optimized Deep Neural Network Model Watermarking,"Yang, Yi-Chen; Chien, Tzu-Yun; Shen, Chih-Ya",2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2026.3686012,https://www.scopus.com/pages/publications/105036816968?origin=resultslist,"DNN/MLaaS model watermarking with per-user customization; verifies the model, not generated code."
